aaab 昌明
aeppp 暴毙
aeqhe 暴投
aeqki 暖寿
aermd 暴躁
aermo 暴跌
aervp 暴民
aeskr 暴君
aetgm 最基本
aetnw 最前面
aevep 暴怒
aevfh 曼妙
aevmy 最终
aevnd 最好
aeybb 最高潮
aeybf 最高点
aeybj 最高峰
aeydl 最新
aeyhl 最近
aeyhv 曝衣
aeyoj 暴卒
aeypm 暴虐
aeytp 暖意
afab 照明
afabj 照明弹
afaht 量小易盈
afalk 照映
afamw 晾晒
afbb 日常
afdbu 照相
afdtq 照样
afdun 照相机
afdup 照相纸
afdur 照相馆
afebd 景深
afebu 景观
affbb 照常
affdj 照料
affff 星火燎原
affug 照耀
afhfu 明察秋毫
afhhi 照射
afhim 时不我与
afhin 时不我予
afhjr 照管
afhmb 即景生情
afhnh 日不移影
afhnr 日不移晷
afhon 景行
afhop 景德
afhpc 景德镇
afhqh 景物
afhqu 照看
afhru 照后镜
afifm 照应
afimg 照准
afimu 景况
afite 照度
afivu 照说
afjdk 景教
afjyk 照实
afksc 照办
afla 照旧
aflll 照片
afmgg 照理
afmgk 景致
afmgn 照到
afmj 晾干
afmqu 巴尔干半岛
afmro 时不可失
afmu 日光
afmvo 照顾
afmwl 照面
afnao 景象
afnau 景色
afnmo 煦煦孑孓
afodi 照付
afohl 景仰
afomi 照会
afomn 照例
afomn 景气
afono 照像
afono 景像
afons 量小气窄
afoon 照像机
afqet 景泰蓝
afqfh 照抄
afqik 明火持杖
afqln 照拂
aftap 景慕
aftgk 景美
aftkk 景美溪
aftks 景美区
aftrv 昭然若揭
aftrw 日不落国
afun 日光灯
afur 日光浴
afuu 照出
afvku 照妖镜
afvmk 照缴
afyru 照亮
agaau 明推暗就
agagi 旺旺的
agb 旺月
agber 量贩店
agbjg 日堙月塞
agdmf 量杯
ageyt 巴士海峡
aggpd 量地
aggpd 旺地
aggpd 垦地
aghbr 量筒
aghdd 旺季
agist 旺盛
agite 量度
agivr 量词
agmfn 既往不究
agmfo 暗室不欺
agmfr 既往不咎
agmmu 明堂正道
agmn 垦丁
agmnm 垦殖
agmsn 日理万机
agmtn 量刑
agnbg 量角
agnbr 量角器
agnd 量子
agnmb 巴塞隆纳
agop 量化
agp 日志
agqam 最佳拍挡
agqmv 量表
agrrr 量器
agrvp 垦民
agsgb 暗室屋漏
agsk 垦区
agtlm 巴基斯坦
agtyu 垦荒
aguu 量出
agyce 量变
agylb 旺市
agyth 量产
ahahm 影星
ahddu 明修栈道暗渡陈仓
ahdg 日程
ahdm 影本
ahdn 日利
ahe 易水
ahei 影戏
ahfbd 易学
ahgis 影城
ahgmi 影坛
ahgpd 易地
ahgv 日程表
ahhhi 影射
ahhlm 影印本
ahhln 影印机
ahhmr 影后
ahhpl 影印
ahijo 影评家
ahivj 影评
ahivk 易读
ahjcr 易容
ahjsg 即物穷理
ahlb 日币
ahlbc 易帜
ahlll 影片
ahlpr 易北河
ahmd 易于
ahmdn 影碟机
ahmkh 暴殄天物
ahmr 日后
ahmrd 影碟
ahmtg 易开罐
ahnd 影子
aho 易人
ahocr 易俗
ahogd 影集
ahono 影像
ahopo 易货
ahoqi 易传
ahoyt 易位
ahptg 易懂
ahq 易手
ahrhr 影响
ahrrk 量才器使
ahrrn 影响到
ahrrs 影响力
ahseb 量才取用
ahsnl 影剧界
ahsnu 影剧院
ahsnw 影剧圈
ahsrn 影剧
ahstv 影展
ahtc 影业
ahup 日息
ahvhm 易姓
ahvmm 易经
ahwfu 影圈
ahybb 影帝
ahyfd 影迷
ahyis 暖身运动
ahyro 易言之
ahysm 易与
aia 时日
aiadi 时时
aians 晶莹剔透
aibtt 日滋月益
aicsh 时分
aidcb 星罗棋布
aidhn 时机
aidsg 时框
aieav 时艰
aiedn 日薄桑榆
aiegk 易守难攻
aifbb 时常
aifbr 时尚
aifkt 时弊
aifmc 时兴
aifmu 时光
aigki 晁勾敖融
aigpd 旷地
aiguj 时过境迁
aihes 时务
aihje 时段
aihnc 巴伐利亚
aihnk 时风
aihnt 既得利益
aihon 时行
aiiie 旷废
aiinn 时序
aiipm 时式
aiivd 旷课
aiivh 时谚
aiivj 时评
aiivp 时论
aijbm 时宜
aijcm 时空
aijln 时事
aijr 旷古
aikhe 时疫
aikip 时态
aikmm 时症
ailam 时间性
ailav 时间表
ailgv 时装
ailsa 时间
ailvc 时装业
ailvr 时装店
aim 旷工
aimbl 时而
aimfl 时运不济
aimlb 时雨
aimmk 时政
aimmu 明公正道
aimmv 时辰
aimwu 日薄西山
aimy 时下
aind 戥子
ainlv 时限
ainmq 时鲜
aio 时人
aioii 时令
aioip 旷代
aioip 时代
aiojm 时值
aiolk 时候
aiool 时价
aiopj 时针
aiopl 时钟
aiopm 时代性
aipt 旷世
aiqis 时势
aiqo 旷夫
aiqse 时报
aishu 时髦
aisjc 旷职
aisk 时区
aissr 时局
aitcb 时期
aitop 昙花
aitqg 时羞
aitqm 时差
aitsl 时节
aium 日记本
aivd 日课
aivr 日语
aivu 日记
aiwgn 旷野
aiydl 时速
aiyk 旷达
aiykk 时效
aiykm 时效性
aiymi 时运
aiynb 时运亨通
aiynn 时时刻刻
aiynv 时刻表
aiyon 时刻
aja 早日
ajamv 早晨
ajanu 早晚
ajaoy 明辨是非
ajekf 旱潦
ajept 早泄
ajets 旱涝
ajfwk 旱烟
ajgou 早起
ajgpd 旱地
ajhgu 早先
ajhk 早夭
ajhxw 早稻田
ajhyr 旱船
ajjf 旱灾
ajjjb 早朝
ajjv 早安
ajkcg 照章办理
ajme 日寇
ajmfv 日旰不食
ajmgg 早班
ajmgn 早到
ajmk 旱天
ajmyf 早一点
ajmym 早一些
ajnao 旱象
ajnve 早饭
ajogk 照单全收
ajoiv 旰食
ajoq 早年
ajqjp 早慧
ajqka 早春
ajqrd 早操
ajqse 早报
ajrmr 旱路
ajsu 早已
ajtcb 早期
ajuni 早岁
ajvha 早婚
ajw 旱田
ajwmd 旱鸭子
ajyav 早退
ajyev 早餐
ajyfu 早就
ajyhc 早产儿
ajyif 早熟
ajylb 早市
ajym 早上
ajypm 早些
ajypv 日旰忘食
ajypv 日旰忘餐
ajyql 早逝
ajyrf 早点
ajyth 早产
akarf 映照
akbve 昊天罔极
akbvu 眉尖眼尾
akdcm 暴敛横征
akedi 映对
akhfe 暗送秋波
akhhi 映射
akkib 晕头转向
akldi 映衬
akmbm 映雪
akmfb 昊天不吊
akmfn 日夜不停
akmfv 眉头不展
akmjs 晴天霹雳
akmk 昊天
akmpg 暴戾恣睢
ako 映入
akono 映像
akoor 映像管
akqid 显微手术
akquo 明文规定
aktcg 日夜兼程
akuu 映出
akyqs 暌违
al 日中
ala 即日
aladi 即时
alaj 即早
alal 日间部
alamo 即是
alayf 即景
albit 日新月盛
albkf 昂然
albst 日新月异
aleyl 日新又新
alfmc 即兴
alhgr 即告
aliki 即为
alimg 歇斯底里
alirm 即或
alitb 即席
allmi 即将
allmo 昂贵
almnr 即可
aloii 即令
aloin 即今
alojk 即使
alomk 即便
aloyt 即位
alphe 日中必湲
alphm 日中必彗
alphn 日中必移
alpho 日中必昃
alqkf 暗中摸索
alqnh 昂扬
alsa 日间
alsu 即已
altae 晨钟暮鼓
althu 昂首
altis 昂藏
alvkk 照价收买
alvku 照价收税
alwgg 即墨
alydl 即速
alyon 即刻
ama 旦日
amaas 明查暗访
amahm 星星
amam 旦旦
amb 星月
amdbu 星相
ameil 星洲
amemr 星河
amf 星火
amfi 日环蚀
amfmu 星光
amhdc 星条旗
amhgi 星等
amhvf 星系
amiof 星星之火
amiog 星座
amjcm 星空
amjki 明耻教战
amjmj 照本宣科
amjoa 星宿
amks 日历
amkug 冒险犯难
amlmk 星状
ammge 星球
ammks 星历
ammmi 星云
ammmj 日上三竿
ammmv 星辰
ammps 日趋恶劣
ammsg 晴空万里
ammth 星形
ammu 日元
amnao 星象
amnbg 旦角
amnd 星子
amni 旦夕
amnlf 星际
amnlo 星陨
amnmd 星驰
amnve 最低限度
amnvm 星马
amsrq 星群
amtaa 旦暮
amtba 星期日
amtbc 星期六
amtbk 星散
amtbk 星期天
amtbm 星期一
amtbm 星期三
amtbm 星期五
amtbw 星期四
amtcb 星期
amtcn 明正典刑
amtrr 星星落落
amtvk 星芒状
amwdh 星团
amyg 星主
amyj 星斗
amyok 星夜
anbbe 日削月朘
anbjn 日削月割
anbuv 眉舒目展
anciw 垦丁公园
and 日子
anegs 暗箭难防
anfqm 暴风半径
anhjg 日行千里
ani 日夕
anioa 旦夕之间
anior 昌亭之客
aniou 旦夕之危
anisf 时机成熟
anmpf 暗吃一惊
anmvh 剔牙
annld 剔除
annnk 明刑弼教
anoso 暗箭伤人
anvi 日蚀
anyhs 剔透
anyji 星移斗转
anyvv 昌亭旅食
ao 日人
aoaeo 暴涨暴跌
aoaev 暴饮暴食
aoajv 日昃旰食
aob 日内
aobed 日久月深
aobgl 歇脚
aobn 日内瓦
aobop 日久见人心
aobu 题目
aoddh 题材
aoedn 景入桑榆
aogfo 题款
aohai 是的
aohmb 日久生情
aohom 题签
aohrj 题辞
aohrr 歇后语
aohup 歇息
aoiiu 量入为出
aoikq 题库
aoiv 日食
aoivi 题诗
aoivr 题词
aojnd 题字
aojoa 歇宿
aojrk 是故
aojro 题额
aokik 晓以大义
aolmy 是非
aolyo 是非题
aolyy 是是非非
aom 歇工
aoman 明人不做暗事
aombp 日入而息
aomfo 是不是
aomfr 是否
aomfv 日昃不食
aomkb 既定政策
aomko 日久天长
aomoi 歇一会
aomy 歇下
aonbq 题解
aonil 晨提夕命
aonir 题名
aonre 题名录
aonuq 眉飞色舞
aopv 日银
aoq 歇手
aoqfj 剔蠍撩蜂
aormk 题跋
aosjg 题壁
aotc 歇业
aovdk 日以继夜
aovio 是以
aovrw 暴跳如雷
aowla 题署
aoypv 日昃忘食
apab 昆明
apbum 明心见性
apbvk 眉花眼笑
apdmh 显花植物
apfbl 时代精神
apfkg 照此类推
aphdf 昵称
aphrj 恳辞
apije 恳求
apivb 恳请
apivf 恳谈
apklb 昆布
aplid 昆虫学
aplmi 昆虫
apmgi 昆玉
apmmu 昙花一现
apnla 昆阳
apol 昆仲
appga 明德惟馨
appsh 恳切
apqer 量能授官
apqhp 恳托
aptw 昆曲
apwpb 时代思潮
apydi 恳亲会
aqbui 晕眩
aqdhn 晕机
aqhru 明眸皓齿
aqhyr 晕船
aqkq 晕车
aqmto 晕厥
aqnir 巴拿马运河
aqomn 晕倒
aqse 日报
arab 昭明
araip 日据时代
aratc 昭显
arbhu 晤见
arbkf 昭然
arbmn 最后胜利
areuf 明若观火
arhdr 昭和
arheq 易如反掌
arhgr 昭告
arhjk 日落千丈
arhmq 易如翻掌
arhnh 暨居衡步
arivf 晤谈
arjkr 明知故问
arjku 明知故犯
arjln 最后审判
arlyn 是古非今
armbm 昭雪
armeh 易如破竹
armkg 明治天皇
armmf 昭示
armoa 冒名顶替
armwl 晤面
armwu 日落西山
arodh 明哲保身
aromh 早知今日何必当初
arqaq 明如指掌
arsrp 是可忍，孰不可忍
artqu 昭着
arvgl 明治维新
arvov 易口以食
arvrp 早知如此
arybd 最后通牒
aryjh 昭彰
asa 昨日
asanu 昨晚
asiep 量力度德
asje 日耳曼
asjnk 既成事实
asmbi 量力而为
asmbn 量力而行
asmk 昨天
asnus 勖勉
asokf 时势使然
aspso 昂藏七尺
asqau 暗藏春色
astlm 巴勒斯坦
asyin 暗藏玄机
asykg 时势造英雄
asyok 昨夜
ataa 日暮
ataae 明弃暗取
ataaq 明升暗降
atbei 日益月滋
atbkq 盟军
atbn 日前
atbok 景升豚犬
atbvi 眉来眼去
atbvk 眉开眼笑
atc 日共
atcb 日期
atct 日益
atdhn 盟机
ater 日落
atgou 昇起
atids 盟书
atioh 旷世之才
ativo 既来之则安之
atjcm 昇空
atke 盟友
atlgk 日益壮大
atmfj 昇平
atmk 昇天
atnlq 昇降
atqjl 盟邦
atqlr 盟誓
atruh 盟兄弟
atvmi 盟约
atwmi 盟国
atyg 盟主
atyii 时来运转
atyl 日薪
auaan 明枪暗箭
auafu 晃晃
auags 明枪易躲暗箭难防
auajd 冒昧
auamo 既是
auarf 晚照
auau 巴巴
auaum 早出晚归
auayf 晚景
aub 眉月
aubkf 既然
aubkf 冒然
aubon 巴贝多
aubq 冒用
aubu 眉目
aubum 晚睡
aubuo 眉睫
audd 巴林
audfb 眉梢
audrk 巴格达
audup 巴想
auejk 冒渎
auepu 冒泡
aueru 巴洛克
auf 冒火
aufbd 晚学
aufbq 巴掌
aufwk 冒烟
aug 巴士
augnh 晚场
augou 晚起
augou 冒起
augss 巴巴劫劫
auhai 晚香玉
auhdf 冒称
auheo 巴黎人
auhhe 巴黎
auhhu 眉笔
auhnk 晚风
auhog 既往
auhoi 晓得
auhoi 冒失鬼
auhoo 冒冒失失
auhqm 晚生
auhqo 冒失
auhqu 眉毛
auihs 晚成
auimr 暴虎冯河
auiue 晚礼服
auivn 晓谕
auivp 昧着良心
aujav 晚宴
aujhr 暗自窃喜
aujln 晓事
aujmd 眉宇
aujmo 既定
aujv 晚安
aukb 既有
aukhu 冒犯
aulgv 晚装
auljo 冒牌货
aullh 晓畅
aulli 昆山片玉
aullj 冒牌
aulrh 昂首阔步
aulsa 晚间
aulyq 晚辈
aumbe 晚霞
aumbl 既而
aumbp 日出而作，日入而息
aumbs 日出而作
aumcw 巴西
aumfi 巴不得
aumgg 晚班
aumgn 晚到
aumgu 明光珵亮
aumis 晃动
aumka 暗无天日
aumlb 冒雨
aummf 晓示
aummj 日已三竿
aummj 日出三竿
aumnp 冒死
aunau 晓色
aunfj 巴尔干
aunir 冒名
aunla 晓阳
aunlm 冒险
aunmp 眉急
aunom 明目张胆
aunpp 巴巴急急
aunve 晚饭
auoib 眉目传情
auoio 冒领
auomi 晚会
auopp 晃晃悠悠
auoq 晚年
auoqm 巴拿马
auosu 曙光乍现
aup 眉心
aupmr 晓悟
auppp 巴比伦
aupt 晚世
aupuo 冒顿
auqgu 昂首挺胸
auqpp 眉批
auqry 盟山誓海
auqse 晚报
auqtg 巴拉圭
aurms 冒号
auror 巴哈
aurrm 巴哈马
ausjr 晓譬
ausu 既已
autcb 晚期
auteh 晃荡
autsl 晚节
auu 日出
auuu 冒出
auuut 冒出来
auvha 晚婚
auviv 晚娘
auvmr 巴结
auvru 眉目如画
auwgu 巴里岛
auwli 巴蜀
auwmi 巴国
auybg 巴望
auybp 明镜高悬
auyev 晚餐
auyhl 晚近
auyif 晚熟
auyiu 冒充
auyk 眉头
auym 晚上
auymi 晚运
auyou 既遂犯
auyru 煦色韶光
auytt 冒进
avahm 晨星
avats 晨曦
avbkf 晏然
avfmu 晨光
avgou 晏起
avhnk 晨风
avhpa 晨昏
avjbv 旰食宵衣
avjle 晏寝
avlsa 晨间
avma 日甚一日
avmr 日给
avmri 暴衣露冠
avmuy 晏安酖毒
avmwu 晚娘面孔
avnd 晏子
avqrd 晨操
avsvu 时装展览
avta 曩昔
avybm 眉眼高低
awgnh 晒场
awhib 旱苗得雨
awidn 明窗净几
awihs 晒成
awkia 晒太阳
awltb 晬面盎背
awmbd 日晒雨淋
awmfi 是福不是祸是祸躲不过
awmj 晒干
awmuu 照猫画虎
awokv 易輶攸畏
awro 日圆
awwgc 巴西里亚
awwgf 晒黑
ayaya 晦暗
aycb 日商
aychb 是非分明
aydl 日新
ayepu 眉下添眉
ayesm 晦涩
ayhip 是非自有公论
ayiod 是非之地
ayiop 是非之心
ayjon 是非颠倒
ayk 日文
ayk 日头
aymfh 是非不分
ayok 日夜
ayomn 晦气
ayrhr 是非口舌
aytt 日进
aytwm 是非曲直
bab 腊月
babhi 腊肠树
babhr 腊肠狗
babmc 赌具
babnh 腊肠
babq 月晕
babse 脂肪酸
babse 脂肪腺
babys 脂肪
bac 腊八
bacnn 腊八粥
badap 赌棍
badm 赌本
badoy 腊梅
baegi 赌法
baeyg 赌注
bafdh 脂粉
bafhn 脂粉气
bagis 赌城
bagnh 赌场
bahnb 月白风清
bahoo 赌徒
bahu 月眉
baiie 败者为寇
bainn 赠序
baioo 赌资
bajhr 赌客
bajii 赌博
bajkd 脚踏实地
bajto 赌赛
bake 赌友
bakqn 赌输
balbo 赌帐
balnk 赠奖
balsu 赠阅
bambr 同日而言
bambr 同日而语
bambu 同日而道
bamdr 脚踏两条船
banin 赠予
banvm 赌马
baobo 腊肉
baomn 赌气
baonk 目指气使
baopj 赌钱
baoqo 赌债
bapgr 见猎心喜
barjd 腊味
barrn 赌咒
barrr 赠品
barsn 赠别
bassr 赌局
batcq 同音共律
bavmr 赠给
bavsh 脱脂奶粉
baylo 赠遗
baymr 赠言
bayno 赌赢
bayrb 脂膏
baysm 赠与
baytk 赠送
bbamb 月朗星稀
bbamb 月明星稀
bbbbb 骨髓
bbbbf 骨髓炎
bbbbr 骨骼
bbbek 腹背受敌
bbbhu 脑满肠肥
bbbig 肺脏
bbbii 肺腑
bbbnh 肺肠
bbbor 贿赂
bbbpo 肺胀
bbbrn 骨骼肌
bbbtk 骨膜
bbbu 瞩目
bbcst 骨盆
bbctm 骨盆腔
bbdbn 骨刺
bbdbu 骨相
bbdhr 骨格
bbdnh 军用机场
bbduf 同明相照
bbdui 同病相怜
bberg 肺活量
bbeun 肝髓流野
bbfbu 朋党
bbff 肺炎
bbgsi 胸有城府
bbhdj 骨科
bbhjg 月明千里
bbhjo 骨质
bbhnm 骨髓移植
bbhyt 骨盘
bbiob 骨肉之情
bbiod 骨肉之亲
bbiou 腹背之毛
bbish 胸有成竹
bbisr 胸有成略
bbist 胸有成算
bbjdk 悬而未决
bbjdy 骨肉未寒
bbke 朋友
bbkf 骨灰
bbkmb 肺病
bbkrd 骨架
bbkru 骨癌
bbkru 肺癌
bbkts 肺痨
bbllj 骨牌
bblyq 朋辈
bbmee 骨碌碌
bbmfy 受用不尽
bbmgd 骨肉至亲
bbmj 骨干
bbmre 骨碌
bbmry 网漏吞舟
bbmse 肺动脉
bbmwt 脯醢
bbnd 骨子
bbndg 骨子里
bbnmb 瞒骗
bbnmd 朋驰
bbnup 周情孔思
bbobo 骨肉
bbodm 胴体
bbolg 胸有邱壑
bbomn 骨气
bbonl 肺气肿
bbqde 肺静脉
bbqhl 骨折
bbqhm 眼高手生
bbqom 眼高手低
bbqpk 眼明手快
bbqqo 眼明手捷
bbrj 肺叶
bbrtc 瞒哄
bbsjd 目濡耳染
bbsjd 目擩耳染
bbthg 骨董
bbtkf 脱离关系
bbtsl 骨节
bbumf 骨炭
bbvro 肺结核
bbybg 瞩望
bbybg 冤有头债有主
bbyhu 贿选
bbyk 骨头
bbyrl 肺部
bbyt 骨立
bcbcl 冥冥中
bcbu 瞑目
bccii 同业公会
bcdup 冥想
bcelt 悬壶济世
bchbn 胁制
bchew 具备
bcioi 冥府
bciol 冥冥之中
bcivv 冥诞
bckb 具有
bcmbm 败兴而归
bcmgm 冥王星
bcmgn 赚到
bcmuo 冥顽
bcnao 具象
bcnir 具名
bcodm 具体
bcomm 具体性
bcomp 具体化
bcoo 胁从
bcopj 赚钱
bcopj 冥钱
bcqdf 腰金拖紫
bcqgi 胁持
bcqki 冥寿
bcqse 冥报
bcrrr 冥器
bcsh 月分
bcsje 赚取
bcvha 冥婚
bcvmp 冥纸
bcvmr 具结
bcwp 冥思
bcyha 胁迫
bcyk 具文
bcyk 赚头
bcymw 胁逼
bcyvf 腰金衣紫
bdaui 同乐晚会
bdbio 采购员
bdbiw 采购团
bdboi 采购
bdbq 采用
bdbqn 采用到
bdbuv 睁眼
bdbuv 眯眼
bddne 悬梁刺股
bddul 刚柔相济
bdeed 采桑
bdfdj 采料
bdfmu 采光
bdgah 采声
bdgg 月桂
bdgi 月桂冠
bdgpd 采地
bdhif 同休等戚
bdhmh 鹞子翻身
bdhnk 采风
bdhon 采行
bdivs 采访
bdj 月末
bdkoi 股东大会
bdksc 采办
bdmmu 目迷五色
bdmrh 采石场
bdmri 采矿
bdmrm 采石厂
bdmt 睁开
bdmud 雕梁画栋
bdmy 采下
bdnd 脖子
bdnmo 脖颈
bdnyk 采买
bdogd 采集
bdoi 采伐
bdoik 股东会议
bdoog 孚众望
bdooo 助学贷款
bdoyr 采信
bdpjs 财迷心窍
bdptl 周游世界
bdqeq 采择
bdqgo 采撷
bdqko 瞎子摸象
bdqsu 采掘
bdqyb 采摘
bdrau 采邑
bdsjb 目染耳濡
bdsje 采取
bdstn 同床异梦
bdtcf 同休共戚
bdtcr 瞠乎其后
bdtcu 同床共枕
bdtod 采茶
bdtop 采花
bdttl 刚柔并济
bdtvi 采药
bdvlk 采收
bdvmb 采纳
bdyuk 见好就收
bebao 受赠人
bebbb 股骨
bebie 脉脉
bebir 受胎
bebjm 腹腔
bebkf 腹膜炎
bebki 股肱
bebob 受贿
bebpo 腹胀
bebq 服用
bebq 受用
bebrr 服服贴贴
bebtk 腹膜
bec 股金
becsh 股分
bede 股权
bedh 爱才
bedib 刚毅木讷
bedm 股本
beebm 腹泻
beede 脉波
beegi 服法
beehu 受洗
beeib 爱滋病
beejb 受潮
beemr 爱河
beeog 受难
beetb 服满
befbl 受精卵
befbo 受赏
befdb 受精
befdh 受粉
begcv 服丧
begfo 受款
begou 爱起
begpd 腹地
behbn 受制
behdb 腹稿
behdn 股利
behes 服务
behhl 爱卿
behig 受得住
behin 受得了
behjr 脉管
behoe 服役
behon 膝行
behpj 爱德华
behqh 爱物
behsc 服务业
behsg 受雇
behsg 服务社
behsl 服务所
behsm 服务生
behso 服务员
behsr 服务站
behsr 服务台
behsy 服务处
behub 刚愎自用
behup 股息
behup 脉息
behvd 爱乐
behvu 受委屈
beifl 爱神
beifu 受礼
beik 爱犬
beimf 受凉
beiml 脉冲
beiob 服膺
beioo 股资
beirr 受话器
beisa 受访者
beit 受戒
beitb 膝席
beivl 受训
beivr 腹语
bejdk 受教
